DEX Name                  | Swap Type 
 Stabble Weighted Swap     | 1 
 OpenBook V2               | 1         
 Pump.fun Amm              | 1         
 Perps                     | 2       
 Orca V1                   | 2         
 Orca V2                   | 3         
 Cropper                   | 17        
 Bonkswap                  | 23        
 Guacswap                  | 23       
 DexLab                    | 30         
 Sanctum                   | 32   
 1DEX                      | 48        
 ZeroFi                    | 67        
 Perena                    | 71        
 Pump.fun Amm              | 73 
 GooseFX GAMMA             | 74
